Index,keywords,Auditor,first_os_asin,Is first_os_asin a strict match to the query?,"If OS is non match, then why?",Can Matching/Ranking fix this?,"If not, where is fix needed?",Remarks,qu_gcorid,product_type_present,attribute_present,first_os_asin_gcorid
aps,hershey raspberry syrup,Rahul ,B000VA2W0U,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,corsodyl complete protection toothpaste,Rahul ,B07MZ7M2VF,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
tools,24Ó electric lamp,Rahul ,B0D7HKDN5M,exact,,,,,,,,
lawngarden,3 bedroom 2 bath house,Rahul ,B0DNXXNRHT,no exact,Attribute(s) missing,Ranking,  -,item displayed in the 9 th position,,,,
aps,dfyne impact shorts,Rahul ,B0D22LVC15,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,eberlestock butt bucket,Rahul ,B005J3IG68,,,,,Query product type score  ( 0.31) < 0.4,,,,
aps,vinyl record casr,Rahul ,B075YKDWZV,exact,,,,,,,,
aps,skinceuticals exfoliator,Rahul ,B00949CTQQ,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,airpods pro max renewed,Rahul ,B08XY48BJD,exact,,,,,,,,
aps,cortisol manager weight loss,Rahul ,B0031TRUOG,exact,,,,,,,,
aps,bliss foot cream,Rahul ,B00176XDAU,no exact,Attribute(s) missing,Matching,,The item is unavailable(present in the catalog),,,,
aps,elf quest rpg,Rahul ,933635540,exact,,,,,,,,
aps,loreal purple eye shadow,Rahul ,B006OZEZW4,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,muumuu dresses for teen boys,Rahul ,B0DM1DXNXH,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,sorry board game figurine,Rahul ,B08QN8T28T,exact,,,,,,,,
tools,worn effects crackle,Rahul ,B000YQKLCM,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,dubai chocolate bar pistachio peanut butter,Rahul ,B0F1Z3QXXN,exact,,,,,,,,
aps,msi claw 8 ai+,Rahul ,B0F12853XK,no exact,Attribute(s) missing,Ranking,, search results in position 30 (B0DLPYC184),,,,
aps,m12 milwaukee uponor gun,Rahul ,B08VNP4Z98,exact,,,,,,,,
aps,body glove iphone xr case,Rahul ,B07K1V1DF7,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,disney car toys for 3 year old,Rahul ,B0BBSJRY6J,no exact,Attribute(s) missing,Ranking,,search results in position 422(B0925TPRKX),,,,
toys-and-games,lego sunflowers picture,Rahul ,B0CG5SQNB4,no exact,Attribute(s) missing,Matching,,The item is unavailable(present in the catalog),,,,
toys-and-games,chikorita pokemon,Rahul ,B0BX7FBCHK,exact,,,,,,,,
aps,racing care set adults,Rahul ,B0DHLFGNMM,exact,,,,,,,,
aps,spring break gear,Rahul ,B09SQC2BGY,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,solomon quest 4 gtx boots mens,Rahul ,B08LG5L8CP,exact,,,,,,,,
aps,vortex scope rings dor remington 700,Rahul ,B002QEQTBM,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,petsafe automatic litter box reusable tray,Rahul ,B01J5GE3GQ,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,sword charms black,Rahul ,B0CQXP6JG9,exact,,,,,,,,
bazaar,winter hunter hat,Rahul ,B0DNJ2XHBD,no exact,Attribute(s) missing,Matching,,The item is available(present in the catalog),,,,
aps,e cigarettes/vapes,Rahul ,B0CLZX2C8R,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,30 pin to firewire cable,Rahul ,B0DP42NN9M,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
aps,love and logic parenting book,Rahul ,1631469061,exact,,,,,,,,
aps,amazon free kindle books,Rahul ,B07JKJCWGY,no exact,Attribute(s) missing,no,Selection,The item is not appearing in the search results and catalog.,,,,
wholefoods,non dairy cheese,Rahul ,,,,,,,,,,
